ctuid_s,ctuid_t,w,f
4210300.00,4210300.00,1.0,1
4210310.00,4210310.00,1.0,1
4210311.01,4210311.01,1.0,1
4210311.02,4210311.02,1.0,1
4210320.01,4210320.01,1.0,1
4210320.02,4210320.02,1.0,1
4210320.03,4210320.03,1.0,1
4210320.04,4210320.04,1.0,1
4210320.05,4210320.05,1.0,1
4210320.07,4210320.07,1.0,1
4210320.08,4210320.08,1.0,1
4210330.00,4210330.00,1.0,1
4210340.01,4210340.01,1.0,1
4210340.02,4210340.02,1.0,1
4210340.03,4210340.03,0.9947545171371346,4
4210340.03,4210360.01,0.005245482862865416,4
4210360.01,4210360.01,1.0,4
4210360.02,4210360.02,1.0,1
4210370.00,4210370.00,1.0,4
4210500.00,4210340.03,0.012578865470698843,4
4210500.00,4210500.00,0.9874211345293011,4
4210510.00,4210510.00,1.0,1
4210520.00,4210520.00,1.0,1
4210530.00,4210530.00,1.0,1
4210540.00,4210540.00,1.0,1
4210600.03,4210600.03,1.0,1
4210600.04,4210600.04,1.0,1
4210600.05,4210600.05,1.0,1
4210600.06,4210600.06,1.0,4
4210605.00,4210605.00,1.0,1
4210610.00,4210610.00,1.0,1
4210700.00,4210700.00,1.0,4
4210800.01,4210800.01,1.0,4
4210800.02,4210800.02,1.0,1
4210801.00,4210801.00,1.0,1
4210802.00,4210802.00,1.0,1
4210810.00,4210810.00,1.0,1
4210811.00,4210811.00,1.0,1
4210812.00,4210812.00,1.0,1
4210820.01,4210820.01,1.0,1
4210820.03,4210820.03,1.0,1
4210820.04,4210820.04,1.0,1
4210825.00,4210800.01,0.000785370434396085,4
4210825.00,4210825.00,0.9992146295656039,4
4210830.01,4210830.01,1.0,1
4210830.02,4210830.02,1.0,4
4210835.03,4210835.03,1.0,4
4210835.04,4210835.04,1.0,1
4210835.05,4210835.05,1.0,1
4210835.06,4210835.06,1.0,1
4210835.07,4210835.07,1.0,1
4210840.01,4210830.02,0.006712019780884766,4
4210840.01,4210840.01,0.9932879802191152,4
4210840.02,4210840.02,1.0,1
4210845.02,4210835.03,0.0004920569833863379,4
4210845.02,4210845.05,0.8460029164736999,4
4210845.02,4210845.06,0.15350502654291384,4
4210845.03,4210845.03,1.0,1
4210845.04,4210845.04,1.0,1
4210846.02,4210846.02,1.0,1
4210846.03,4210846.03,1.0,1
4210846.04,4210846.04,1.0,1
4210850.02,4210850.02,1.0,1
4210850.03,4210850.03,1.0,1
4210850.04,4210850.04,1.0,1
4210850.05,4210850.05,1.0,1
4210900.00,4210900.00,1.0,1
4210901.00,4210901.00,1.0,1
4330001.00,4330001.00,1.0,1
4330002.00,4330002.00,1.0,1
4330003.00,4330003.00,1.0,1
4330004.00,4330004.00,1.0,1
4330005.00,4330005.00,1.0,1
4330006.00,4330006.00,1.0,1
4330007.00,4330007.00,1.0,1
4330008.00,4330008.00,1.0,1
4330009.01,4330009.01,1.0,1
4330009.02,4330009.02,1.0,1
4330010.00,4330010.00,1.0,1
4330011.00,4330011.00,1.0,1
4330012.00,4330012.00,1.0,1
4330013.00,4330013.00,1.0,1
4330014.00,4330014.00,1.0,1
4330015.01,4330015.01,1.0,1
4330015.02,4330015.02,1.0,1
4330016.00,4330016.00,1.0,1
4330017.00,4330017.00,1.0,1
4330018.00,4330018.00,1.0,1
4330019.01,4330019.01,1.0,1
4330019.02,4330019.02,1.0,1
4330100.00,4330100.00,1.0,1
4330110.01,4330110.01,1.0,1
4330110.03,4330110.03,1.0,1
4330110.04,4330110.04,0.9807560735621272,4
4330110.04,4330110.07,0.019243926437872774,4
4330110.06,4330110.06,1.0,1
4330110.07,4330110.07,1.0,4
4330111.01,4330111.01,1.0,1
4330111.02,4330111.02,1.0,1
4330111.05,4330111.05,1.0,1
4330111.06,4330111.06,1.0,1
4330111.07,4330111.07,1.0,1
4330111.08,4330111.08,1.0,1
4330112.00,4330112.01,0.49622663015845303,3
4330112.00,4330112.02,0.503773369841547,3
4330113.01,4330113.01,1.0,1
4330113.02,4330113.02,1.0,1
4330200.00,4330200.00,1.0,4
4330201.00,4330201.00,1.0,4
4330202.00,4330202.00,1.0,1
4330300.01,4330300.01,1.0,1
4330300.02,4330300.02,1.0,1
4330400.01,4330400.01,0.9834517631297535,4
4330400.01,4330400.03,0.016548236870246577,4
4330400.02,4330400.02,1.0,1
4330400.03,4330400.03,1.0,4
4330400.04,4330400.04,1.0,1
4330401.00,4330401.00,1.0,4
4330402.00,4330402.00,1.0,1
4420001.00,4420001.00,1.0,1
4420002.00,4420002.00,1.0,1
4420003.00,4420003.00,1.0,1
4420004.00,4420004.00,1.0,1
4420005.00,4420005.00,1.0,1
4420006.00,4420006.00,1.0,1
4420007.00,4420007.00,1.0,1
4420008.00,4420008.00,1.0,1
4420009.00,4420009.00,1.0,1
4420010.00,4420010.00,1.0,1
4420011.00,4420011.00,1.0,1
4420012.01,4420012.01,1.0,1
4420012.02,4420012.02,1.0,1
4420013.01,4420013.01,1.0,4
4420013.02,4420013.01,0.03254553540043194,4
4420013.02,4420013.02,0.967454464599568,4
4420013.03,4420013.03,1.0,1
4420100.01,4420100.01,1.0,1
4420100.02,4420100.02,1.0,1
4420101.02,4420013.01,0.0029004773710343506,4
4420101.02,4420101.02,0.9970995226289656,4
4420101.03,4420101.03,1.0,1
