source_ctuid,target_ctuid,w_area
4620404.00,4620407.00,0.0000007056
4620407.00,4620405.00,0.4803963055
4620407.00,4620406.00,0.5196036945
5050001.00,5050001.00,1.0000000000
5050002.00,5050002.00,1.0000000000
5050003.00,5050003.00,1.0000000000
5050004.00,5050004.00,1.0000000000
5050005.00,5050005.00,1.0000000000
5050006.00,5050006.00,1.0000000000
5050007.00,5050007.00,1.0000000000
5050008.00,5050008.00,1.0000000000
5050009.00,5050009.00,1.0000000000
5050010.00,5050010.00,1.0000000000
5050011.00,5050011.00,1.0000000000
5050012.00,5050012.00,1.0000000000
5050013.00,5050013.00,1.0000000000
5050014.00,5050014.00,1.0000000000
5050015.00,5050015.00,1.0000000000
5050016.00,5050016.00,1.0000000000
5050017.00,5050017.00,1.0000000000
5050018.00,5050018.00,1.0000000000
5050019.00,5050019.00,1.0000000000
5050020.00,5050020.00,1.0000000000
5050021.00,5050021.00,1.0000000000
5050022.00,5050022.00,1.0000000000
5050023.00,5050023.00,1.0000000000
5050024.00,5050024.00,1.0000000000
5050025.00,5050025.00,1.0000000000
5050026.00,5050026.00,1.0000000000
5050027.00,5050027.00,1.0000000000
5050028.00,5050028.00,1.0000000000
5050029.00,5050029.00,1.0000000000
5050030.00,5050030.00,1.0000000000
5050031.00,5050031.00,1.0000000000
5050032.00,5050032.00,1.0000000000
5050033.00,5050033.00,1.0000000000
5050034.00,5050034.00,1.0000000000
5050035.00,5050035.00,1.0000000000
5050036.00,5050036.00,1.0000000000
5050037.00,5050037.00,1.0000000000
5050038.00,5050038.00,1.0000000000
5050039.00,5050039.00,1.0000000000
5050040.00,5050040.00,1.0000000000
5050041.00,5050041.00,1.0000000000
5050042.00,5050042.00,1.0000000000
5050043.00,5050043.00,1.0000000000
5050044.00,5050044.00,1.0000000000
5050045.00,5050045.00,1.0000000000
5050046.00,5050046.00,1.0000000000
5050047.00,5050047.00,1.0000000000
5050048.00,5050048.00,1.0000000000
5050049.00,5050049.00,1.0000000000
5050050.00,5050050.00,1.0000000000
5050070.00,5050070.00,1.0000000000
5050071.00,5050071.00,1.0000000000
5050072.00,5050072.00,1.0000000000
5050073.00,5050073.00,1.0000000000
5050074.00,5050074.00,1.0000000000
5050079.00,5050002.00,0.1328621597
5050079.00,5050079.00,0.8671378403
5050080.00,5050080.00,1.0000000000
5050081.00,5050081.00,1.0000000000
5050082.00,5050082.00,1.0000000000
5050083.00,5050083.00,1.0000000000
5050084.00,5050084.00,1.0000000000
5050085.00,5050085.00,1.0000000000
5050086.00,5050086.00,1.0000000000
5050087.00,5050087.00,1.0000000000
5050088.00,5050088.00,1.0000000000
5050100.00,5050100.00,1.0000000000
5050101.00,5050101.00,1.0000000000
5050102.00,5050102.00,1.0000000000
5050103.00,5050103.00,1.0000000000
5050104.00,5050104.00,1.0000000000
5050105.00,5050105.00,1.0000000000
5050106.00,5050106.00,1.0000000000
5050107.00,5050107.00,1.0000000000
5050108.00,5050101.00,0.1658622336
5050108.00,5050108.00,0.8341377664
5050120.00,5050120.00,1.0000000000
5050125.00,5050125.00,1.0000000000
5050127.00,5050127.00,1.0000000000
5050130.00,5050130.00,1.0000000000
5050131.00,5050131.00,1.0000000000
5050135.00,5050135.00,1.0000000000
5050150.00,5050150.00,1.0000000000
5050151.00,5050120.00,0.4154250191
5050151.00,5050151.00,0.5845749809
5050152.00,5050152.00,1.0000000000
5050153.00,5050083.00,0.1187195451
5050153.00,5050084.00,0.0436804242
5050153.00,5050153.00,0.8376000307
5210001.00,5210001.00,1.0000000000
5210002.00,5210002.00,1.0000000000
5210003.00,5210003.00,1.0000000000
5210004.00,5210004.00,1.0000000000
5210005.00,5210005.00,1.0000000000
5210006.00,5210006.00,1.0000000000
5210007.00,5210007.00,1.0000000000
5210008.00,5210008.00,1.0000000000
5210009.00,5210009.00,1.0000000000
5210010.00,5210010.00,1.0000000000
